"Artikel-Nr.","Bezeichnung","EAN-Nr.","Lagerbestand","ME","MwSt.-satz"
767,"Bübchen Mama Duschcreme 230ml","7613034698568",14.00,"Stck.",19.00
768,"Sebamed Baby&Kind Cal.Pfl.Creme G+K 75ml","4103040016928",23.00,"Stck.",19.00
773,"Bübchen Shampoo&Shower Dschungelbande 230ml","7613035058293",78.00,"Stck.",19.00
774,"Sebamed Baby&Kind Cal.Pfl.Lotion 200ml","4103040016904",9.00,"Stck.",19.00
778,"Sebamed Baby&Kind Cal.WL Haut&Haar 200ml","4103040016973",15.00,"Stck.",19.00
780,"Bübchen Shampoo&Shower Himbärspaß 230ml","7613035058200",46.00,"Stck.",19.00
781,"Bübchen Familien Creme Dusche 230ml","7613035299948",17.00,"Stck.",19.00
782,"Sebamed Baby&Kind Cal.Wundcreme 75ml","4103040016942",25.00,"Stck.",19.00
784,"Bübchen Wasch&Duschcreme 230ml","7613034692160",13.00,"Stck.",19.00
785,"Bübchen Familien Waschlotion&Shampoo 230ml","7613035299726",10.00,"Stck.",19.00
790,"Sebamed Baby&Kind Panth.Pfl.Creme G+K 75ml","4103040898241",9.00,"Stck.",19.00
792,"Sebamed Baby&Kind Panth.Pfl.Lotion 200ml","4103040009210",0.00,"Stck.",19.00
793,"Sebamed Baby&Kind Panth.WL Haut&Haar 200ml","4103040009234",14.00,"Stck.",19.00
794,"Sebamed Baby&Kind Panth.Wundcreme 75ml","4103040009197",8.00,"Stck.",19.00
795,"Otto Kern Cool Contrast Man After 50ml","4011700853205",5.00,"Stck.",19.00
796,"Otto Kern Cool Contrast Man Deo Spray 150ml","4011700853212",1.00,"Stck.",19.00
797,"Otto Kern Cool Contrast Man Dusche 150ml","4011700853236",4.00,"Stck.",19.00
799,"Bübchen Pflege Lotion 400ml","7613034698674",58.00,"Stck.",19.00
812,"Penaten Wundschutz Creme 200ml","3574661491073",15.00,"Stck.",19.00
814,"Nuk Kiddy Cup Trinkaufsatz hart","4008600237617",18.00,"Stck.",19.00
816,"Kneipp NK Bade&Duschschaum Simsalabim 150ml","4008233152851",12.00,"Stck.",19.00
817,"Kneipp NK Bade&Duschschaum Tatütata 150ml","4008233152844",13.00,"Stck.",19.00
820,"Nuk Nature Sence Babyflasche 150ml","4008600259077",3.00,"Stck.",19.00
